Local time,Open,High,Low,Close,Volume
02.07.2006 22:00:00.000 GMT+0100,1.84789,1.85365,1.83246,1.85060,734240.5500999999
09.07.2006 22:00:00.000 GMT+0100,1.85024,1.85194,1.83109,1.83785,734995.6026999999
16.07.2006 22:00:00.000 GMT+0100,1.83780,1.85964,1.81753,1.85825,733237.1358000002
23.07.2006 22:00:00.000 GMT+0100,1.85880,1.86731,1.83837,1.86330,734698.1473
30.07.2006 22:00:00.000 GMT+0100,1.86276,1.91255,1.86156,1.90755,743313.6929999997
06.08.2006 22:00:00.000 GMT+0100,1.90722,1.91395,1.88663,1.88995,738842.4330999998
13.08.2006 22:00:00.000 GMT+0100,1.89056,1.90220,1.87753,1.88110,731736.3788000003
20.08.2006 22:00:00.000 GMT+0100,1.88057,1.89944,1.88001,1.88680,734008.3303999997
27.08.2006 22:00:00.000 GMT+0100,1.88689,1.90911,1.88597,1.90501,734448.1225000002
03.09.2006 22:00:00.000 GMT+0100,1.90499,1.90789,1.86270,1.86483,746972.6311000001
10.09.2006 22:00:00.000 GMT+0100,1.86508,1.89170,1.86023,1.88087,740112.3674999998
17.09.2006 22:00:00.000 GMT+0100,1.87899,1.90614,1.87351,1.89940,734683.2950999999
24.09.2006 22:00:00.000 GMT+0100,1.89896,1.90708,1.86344,1.87217,736464.0486999997
01.10.2006 22:00:00.000 GMT+0100,1.87285,1.88970,1.86735,1.86863,735275.9008999998
08.10.2006 22:00:00.000 GMT+0100,1.86952,1.87110,1.85163,1.85539,742173.9052999999
15.10.2006 22:00:00.000 GMT+0100,1.85508,1.88577,1.85217,1.88297,738932.3323000001
22.10.2006 22:00:00.000 GMT+0100,1.88303,1.90002,1.86743,1.89755,736638.2113000002
29.10.2006 22:00:00.000 GMT-0000,1.89547,1.91350,1.89471,1.90102,738144.9530999999
05.11.2006 22:00:00.000 GMT-0000,1.90181,1.91772,1.89488,1.91033,735254.2837000001
12.11.2006 22:00:00.000 GMT-0000,1.90997,1.91508,1.88352,1.89405,735662.1017999998
19.11.2006 22:00:00.000 GMT-0000,1.89486,1.93483,1.89316,1.93221,730109.2840000002
26.11.2006 22:00:00.000 GMT-0000,1.94588,1.98449,1.93117,1.98090,736715.8144999999
03.12.2006 22:00:00.000 GMT-0000,1.97613,1.98379,1.95108,1.95457,750658.6543000002
10.12.2006 22:00:00.000 GMT-0000,1.95148,1.97269,1.94655,1.95195,748897.3863000002
17.12.2006 22:00:00.000 GMT-0000,1.95240,1.97464,1.94337,1.95778,744673.3008
24.12.2006 22:00:00.000 GMT-0000,1.95686,1.97564,1.95130,1.95848,761495.6296000003
31.12.2006 22:00:00.000 GMT-0000,1.95860,1.97490,1.92633,1.92900,748868.1404
07.01.2007 22:00:00.000 GMT-0000,1.93033,1.96036,1.92608,1.95893,742725.5169
14.01.2007 22:00:00.000 GMT-0000,1.95938,1.97776,1.95697,1.97335,744450.1399000008
21.01.2007 22:00:00.000 GMT-0000,1.97380,1.99145,1.95576,1.95905,743545.8215999998
28.01.2007 22:00:00.000 GMT-0000,1.95969,1.97440,1.94817,1.96584,743443.0697999998
04.02.2007 22:00:00.000 GMT-0000,1.96598,1.97299,1.94571,1.94892,736378.8530999996
11.02.2007 22:00:00.000 GMT-0000,1.94787,1.96749,1.94014,1.94928,753110.6170000001
18.02.2007 22:00:00.000 GMT-0000,1.94944,1.96507,1.94333,1.96336,733476.7538000002
25.02.2007 22:00:00.000 GMT-0000,1.96348,1.96718,1.94111,1.94318,742111.5200999998
04.03.2007 22:00:00.000 GMT-0000,1.94282,1.94473,1.91822,1.93175,745084.4709
11.03.2007 21:00:00.000 GMT-0000,1.93172,1.95038,1.92124,1.94212,740498.9886000005
18.03.2007 21:00:00.000 GMT-0000,1.94096,1.97244,1.93832,1.96122,736273.2455999998
25.03.2007 22:00:00.000 GMT+0100,1.96081,1.97197,1.95466,1.96707,750547.7391000001
01.04.2007 22:00:00.000 GMT+0100,1.96810,1.98235,1.96355,1.96520,1928948.8588999999
08.04.2007 22:00:00.000 GMT+0100,1.96520,1.98870,1.95915,1.98580,1473237.6116000002
15.04.2007 22:00:00.000 GMT+0100,1.98569,2.01320,1.98515,2.00190,2062385.3451999999
22.04.2007 22:00:00.000 GMT+0100,2.00469,2.00615,1.98640,1.99760,2161196.0268000006
29.04.2007 22:00:00.000 GMT+0100,1.99578,2.00745,1.98425,1.99180,3527396.2075999994
06.05.2007 22:00:00.000 GMT+0100,1.99410,1.99985,1.97615,1.98140,5665647.400599997
13.05.2007 22:00:00.000 GMT+0100,1.98240,1.98740,1.97000,1.97450,6146680.6474
20.05.2007 22:00:00.000 GMT+0100,1.97490,1.98950,1.96755,1.98360,5508315.4737
27.05.2007 22:00:00.000 GMT+0100,1.98390,1.98990,1.97340,1.98220,4734873.983899999
03.06.2007 22:00:00.000 GMT+0100,1.98166,1.99680,1.96220,1.97000,6140794.627800001
10.06.2007 22:00:00.000 GMT+0100,1.97000,1.97830,1.96500,1.97590,5045106.902100002
17.06.2007 22:00:00.000 GMT+0100,1.97560,1.99960,1.97460,1.99890,4746196.809700001
24.06.2007 22:00:00.000 GMT+0100,1.99843,2.00870,1.99290,2.00838,5375217.2348
